,SGD=X,JPY=X,INR=X,MYR=X,GBPUSD=X,ZAR=X,NZDUSD=X,AUDUSD=X,CNY=X,PHP=X,MXN=X,IDR=X,EURUSD=X,THB=X,HKD=X
2021-01-06 08:00:00+00:00,0.0005316984451262385,0.0008370583369956552,0.0012730626419923396,0.00024954517803021936,-0.002778628240714731,0.005889132139828002,-0.0005105137655340153,-0.0012074596859397158,0.00032535297547253705,0.0007496900320060895,0.0042065865175224815,0.0,-0.0013560562076703198,-0.0005352035767525187,-1.2916082367753212e-05
2021-01-06 09:00:00+00:00,-0.0005542218874929894,0.0003598596117166952,-0.0004238842061830006,0.0,0.0015825345320639173,-0.00018426717441377694,0.0016802438707261835,0.0023737668161263326,-1.550906054081924e-05,-0.00039536010272855915,-0.003326827703328261,0.0,0.001481483487164592,-0.00030126110233996695,0.0
2021-01-06 10:00:00+00:00,-0.00037216118436722567,-0.00021390964527800982,-0.0005333146901015384,0.0004990848128907377,0.0012430032461390184,-0.00041337203444891113,0.0005848144539895017,0.0008362246248190264,-0.000511142251161778,-0.00018731647511527338,-0.001373468272257039,-0.0020088779989596572,-0.00024680614883332286,0.0,5.5478365590166945e-05
2021-01-06 11:00:00+00:00,9.121796546440741e-05,-0.00038888844376683274,-0.00027374237459920625,0.0,-0.0006824757847642138,0.0006580627725243371,-0.0009494418930390269,-0.0010928572485440213,9.302950394873832e-05,0.00043720660795898425,-0.0008091074500286011,0.0,0.0,6.698837263230395e-05,0.0
2021-01-06 12:00:00+00:00,0.0006381957916938852,0.0012353978365473584,0.0005201693824394837,0.0,-0.0024374562353901563,0.0028807365150513853,-0.001749615973291152,-0.0016911283068491434,0.00018589393110990393,-2.087830835861837e-05,0.0011538803837052303,0.0,0.00012343353857291461,0.0012051990989039307,-6.457766331235959e-06
2021-01-06 13:00:00+00:00,0.0012832715322725896,0.0023997750178490485,0.0005609188798989528,0.0,-0.0035954312136203814,0.0019138317354261414,-0.001819234883001064,-0.0018591935280577454,-4.646484524473138e-05,-4.159871482189992e-05,-0.0008189529666076112,0.0,-0.0017252488356380713,0.0007356169006165203,-1.4145674741561365e-05
2021-01-06 14:00:00+00:00,-0.00047017995932263634,0.0003198202085405999,-0.0001640920659764511,-0.000498835851493129,0.0009234297498841304,0.0014657397588311305,0.00036392036344534695,0.00039683649516519814,0.000867581079197377,-0.00020808161689811477,-0.0012773940620762758,0.0012067278183098828,-0.0007387907107588854,-0.0006014317478848508,2.0603774230076866e-05
2021-01-06 15:00:00+00:00,0.001653956068097484,0.0017053349210072177,0.00036924165859719693,0.0,-0.0023709635355290137,0.001748189361745922,-0.0013811333645237234,-0.0012124792067091938,0.00021670725868205842,0.0004163292544236974,0.0004989348841668573,0.0,-0.0023341826139940958,0.0008358281062457174,1.9373298993707877e-05
2021-01-06 16:00:00+00:00,-0.0003862820917527321,-0.001228504945568143,0.00012306988867805124,0.0,0.0032212982632706666,0.0008305040361775706,0.002039636643602183,0.0018844999533744744,0.0,0.0,-0.0016100104951981553,-0.003160011490950909,0.0007376704383084132,-6.677472533322959e-05,-6.064032617358883e-05
2021-01-06 17:00:00+00:00,-0.000803213576947126,-0.0004745096967113671,-9.573241975269209e-05,0.0,0.001142998175781118,-0.005720099638368725,0.0013128043592567362,0.0013333702778446366,0.0,-0.0006242736815819105,-0.005411015481876502,0.0031700288184437486,0.0007381932949397374,-0.0005011624866911868,2.4479019727241536e-05
2021-01-06 18:00:00+00:00,-0.00041711724791571037,-0.00052322859989129,0.0,0.0,0.00069445995816797,0.0005424287708384323,-7.281071420695007e-05,0.0005694822634174646,0.0,0.00020824768862515164,-0.00048431340017374147,-0.003160011490950909,0.0009852111741239789,-0.00033419084758257167,1.9373624280394353e-05
2021-01-06 19:00:00+00:00,0.0006221384705322741,-0.00018416519544051102,-0.00028701616864701407,0.0,-0.0010474016664578922,0.0018259142417249574,-0.001820073504131381,-0.0015734739609769566,0.0,0.000208124923868791,0.0037187605143527147,0.0,-0.000123126983994859,0.000902718972965566,-1.9373248950405042e-05
2021-01-06 20:00:00+00:00,-0.000947766805258321,-0.001008434692165494,-0.00019153814519723422,0.0,0.000489983513557668,-0.00012411038656401363,0.001604218355781839,0.0012713376599367,0.0,-0.0004994435146533638,-0.0005742626047442467,0.0031700288184437486,0.0011094410334027138,-0.00016700052967388856,1.2915749520336917e-05
